nohup: ignoring input
../../ex/epivan/base/pseknc_II_lam5_w1_k6_n3_rf_base created !!!
../../ex/epivan/base/pseknc_II_lam5_w1_k6_n3_rf_base/rank created !!!
experiment: GM12878 pseknc_II_lam5_w1_k6_n3_rf
trainSet len:[X=76020,y=76020]
testSet len:[X=4431,y=4431]
第一次
{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_jobs': 14, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}
Fitting, totalling 34 fits
[fit 1/34] END n_estimators=10; total=4431, TP=119, TN=4172, FP=48, FN=92; precision=0.713, recall=0.564
[fit 68/150] END max_depth=67; total=4431, TP=123, TN=4202, FP=18, FN=88; precision=0.872, recall=0.583
accuracy: (test=0.976) average_precision: (test=0.748) balanced_accuracy: (test=0.789) f1: (test=0.699) roc_auc: (test=0.918) 1.81min
[fit 69/150] END max_depth=68; total=4431, TP=125, TN=4198, FP=22, FN=86; precision=0.850, recall=0.592
accuracy: (test=0.976) average_precision: (test=0.744) balanced_accuracy: (test=0.794) f1: (test=0.698) roc_auc: (test=0.913) 1.82min
[fit 70/150] END max_depth=69; total=4431, TP=123, TN=4196, FP=24, FN=88; precision=0.837, recall=0.583
accuracy: (test=0.975) average_precision: (test=0.740) balanced_accuracy: (test=0.789) f1: (test=0.687) roc_auc: (test=0.920) 1.80min
[fit 71/150] END max_depth=70; total=4431, TP=121, TN=4194, FP=26, FN=90; precision=0.823, recall=0.573
accuracy: (test=0.974) average_precision: (test=0.743) balanced_accuracy: (test=0.784) f1: (test=0.676) roc_auc: (test=0.924) 1.81min
[fit 72/150] END max_depth=71; total=4431, TP=123, TN=4199, FP=21, FN=88; precision=0.854, recall=0.583
accuracy: (test=0.975) average_precision: (test=0.745) balanced_accuracy: (test=0.789) f1: (test=0.693) roc_auc: (test=0.923) 1.80min
[fit 73/150] END max_depth=72; total=4431, TP=126, TN=4194, FP=26, FN=85; precision=0.829, recall=0.597
accuracy: (test=0.975) average_precision: (test=0.743) balanced_accuracy: (test=0.795) f1: (test=0.694) roc_auc: (test=0.920) 1.83min
[fit 74/150] END max_depth=73; total=4431, TP=121, TN=4194, FP=26, FN=90; precision=0.823, recall=0.573
accuracy: (test=0.974) average_precision: (test=0.747) balanced_accuracy: (test=0.784) f1: (test=0.676) roc_auc: (test=0.915) 1.80min
[fit 75/150] END max_depth=74; total=4431, TP=121, TN=4200, FP=20, FN=90; precision=0.858, recall=0.573
accuracy: (test=0.975) average_precision: (test=0.741) balanced_accuracy: (test=0.784) f1: (test=0.688) roc_auc: (test=0.917) 1.83min
[fit 76/150] END max_depth=75; total=4431, TP=125, TN=4197, FP=23, FN=86; precision=0.845, recall=0.592
accuracy: (test=0.975) average_precision: (test=0.751) balanced_accuracy: (test=0.793) f1: (test=0.696) roc_auc: (test=0.933) 1.81min
[fit 77/150] END max_depth=76; total=4431, TP=122, TN=4196, FP=24, FN=89; precision=0.836, recall=0.578
accuracy: (test=0.974) average_precision: (test=0.745) balanced_accuracy: (test=0.786) f1: (test=0.683) roc_auc: (test=0.927) 1.80min
[fit 78/150] END max_depth=77; total=4431, TP=122, TN=4194, FP=26, FN=89; precision=0.824, recall=0.578
accuracy: (test=0.974) average_precision: (test=0.744) balanced_accuracy: (test=0.786) f1: (test=0.680) roc_auc: (test=0.925) 1.81min
[fit 79/150] END max_depth=78; total=4431, TP=123, TN=4195, FP=25, FN=88; precision=0.831, recall=0.583
accuracy: (test=0.974) average_precision: (test=0.747) balanced_accuracy: (test=0.789) f1: (test=0.685) roc_auc: (test=0.929) 1.80min
[fit 80/150] END max_depth=79; total=4431, TP=125, TN=4196, FP=24, FN=86; precision=0.839, recall=0.592
accuracy: (test=0.975) average_precision: (test=0.744) balanced_accuracy: (test=0.793) f1: (test=0.694) roc_auc: (test=0.916) 1.80min
[fit 81/150] END max_depth=80; total=4431, TP=124, TN=4202, FP=18, FN=87; precision=0.873, recall=0.588
accuracy: (test=0.976) average_precision: (test=0.749) balanced_accuracy: (test=0.792) f1: (test=0.703) roc_auc: (test=0.933) 1.79min
[fit 82/150] END max_depth=81; total=4431, TP=122, TN=4197, FP=23, FN=89; precision=0.841, recall=0.578
accuracy: (test=0.975) average_precision: (test=0.739) balanced_accuracy: (test=0.786) f1: (test=0.685) roc_auc: (test=0.923) 1.79min
[fit 83/150] END max_depth=82; total=4431, TP=124, TN=4200, FP=20, FN=87; precision=0.861, recall=0.588
accuracy: (test=0.976) average_precision: (test=0.741) balanced_accuracy: (test=0.791) f1: (test=0.699) roc_auc: (test=0.922) 1.79min
[fit 84/150] END max_depth=83; total=4431, TP=124, TN=4194, FP=26, FN=87; precision=0.827, recall=0.588
accuracy: (test=0.974) average_precision: (test=0.740) balanced_accuracy: (test=0.791) f1: (test=0.687) roc_auc: (test=0.918) 1.82min
[fit 85/150] END max_depth=84; total=4431, TP=124, TN=4200, FP=20, FN=87; precision=0.861, recall=0.588
accuracy: (test=0.976) average_precision: (test=0.746) balanced_accuracy: (test=0.791) f1: (test=0.699) roc_auc: (test=0.923) 1.81min
[fit 86/150] END max_depth=85; total=4431, TP=122, TN=4196, FP=24, FN=89; precision=0.836, recall=0.578
accuracy: (test=0.974) average_precision: (test=0.741) balanced_accuracy: (test=0.786) f1: (test=0.683) roc_auc: (test=0.925) 1.86min
[fit 87/150] END max_depth=86; total=4431, TP=122, TN=4198, FP=22, FN=89; precision=0.847, recall=0.578
accuracy: (test=0.975) average_precision: (test=0.746) balanced_accuracy: (test=0.786) f1: (test=0.687) roc_auc: (test=0.928) 1.83min
[fit 88/150] END max_depth=87; total=4431, TP=119, TN=4201, FP=19, FN=92; precision=0.862, recall=0.564
accuracy: (test=0.975) average_precision: (test=0.739) balanced_accuracy: (test=0.780) f1: (test=0.682) roc_auc: (test=0.919) 1.81min
[fit 89/150] END max_depth=88; total=4431, TP=126, TN=4198, FP=22, FN=85; precision=0.851, recall=0.597
accuracy: (test=0.976) average_precision: (test=0.748) balanced_accuracy: (test=0.796) f1: (test=0.702) roc_auc: (test=0.924) 1.83min
[fit 90/150] END max_depth=89; total=4431, TP=124, TN=4198, FP=22, FN=87; precision=0.849, recall=0.588
accuracy: (test=0.975) average_precision: (test=0.742) balanced_accuracy: (test=0.791) f1: (test=0.695) roc_auc: (test=0.926) 1.81min
[fit 91/150] END max_depth=90; total=4431, TP=121, TN=4193, FP=27, FN=90; precision=0.818, recall=0.573
accuracy: (test=0.974) average_precision: (test=0.738) balanced_accuracy: (test=0.784) f1: (test=0.674) roc_auc: (test=0.922) 1.81min
[fit 92/150] END max_depth=91; total=4431, TP=124, TN=4197, FP=23, FN=87; precision=0.844, recall=0.588
accuracy: (test=0.975) average_precision: (test=0.745) balanced_accuracy: (test=0.791) f1: (test=0.693) roc_auc: (test=0.923) 1.80min
[fit 93/150] END max_depth=92; total=4431, TP=124, TN=4199, FP=21, FN=87; precision=0.855, recall=0.588
accuracy: (test=0.976) average_precision: (test=0.744) balanced_accuracy: (test=0.791) f1: (test=0.697) roc_auc: (test=0.929) 1.81min
[fit 94/150] END max_depth=93; total=4431, TP=126, TN=4201, FP=19, FN=85; precision=0.869, recall=0.597
accuracy: (test=0.977) average_precision: (test=0.743) balanced_accuracy: (test=0.796) f1: (test=0.708) roc_auc: (test=0.912) 1.80min
[fit 95/150] END max_depth=94; total=4431, TP=125, TN=4194, FP=26, FN=86; precision=0.828, recall=0.592
accuracy: (test=0.975) average_precision: (test=0.736) balanced_accuracy: (test=0.793) f1: (test=0.691) roc_auc: (test=0.920) 1.80min
[fit 96/150] END max_depth=95; total=4431, TP=124, TN=4196, FP=24, FN=87; precision=0.838, recall=0.588
accuracy: (test=0.975) average_precision: (test=0.742) balanced_accuracy: (test=0.791) f1: (test=0.691) roc_auc: (test=0.926) 1.80min
[fit 97/150] END max_depth=96; total=4431, TP=123, TN=4193, FP=27, FN=88; precision=0.820, recall=0.583
accuracy: (test=0.974) average_precision: (test=0.744) balanced_accuracy: (test=0.788) f1: (test=0.681) roc_auc: (test=0.925) 1.80min
[fit 98/150] END max_depth=97; total=4431, TP=121, TN=4195, FP=25, FN=90; precision=0.829, recall=0.573
accuracy: (test=0.974) average_precision: (test=0.739) balanced_accuracy: (test=0.784) f1: (test=0.678) roc_auc: (test=0.920) 1.81min
[fit 99/150] END max_depth=98; total=4431, TP=126, TN=4199, FP=21, FN=85; precision=0.857, recall=0.597
accuracy: (test=0.976) average_precision: (test=0.745) balanced_accuracy: (test=0.796) f1: (test=0.704) roc_auc: (test=0.918) 1.79min
[fit 100/150] END max_depth=99; total=4431, TP=122, TN=4197, FP=23, FN=89; precision=0.841, recall=0.578
accuracy: (test=0.975) average_precision: (test=0.745) balanced_accuracy: (test=0.786) f1: (test=0.685) roc_auc: (test=0.921) 1.81min
[fit 101/150] END max_depth=100; total=4431, TP=123, TN=4198, FP=22, FN=88; precision=0.848, recall=0.583
accuracy: (test=0.975) average_precision: (test=0.744) balanced_accuracy: (test=0.789) f1: (test=0.691) roc_auc: (test=0.921) 1.81min
[fit 102/150] END max_depth=101; total=4431, TP=120, TN=4195, FP=25, FN=91; precision=0.828, recall=0.569
accuracy: (test=0.974) average_precision: (test=0.738) balanced_accuracy: (test=0.781) f1: (test=0.674) roc_auc: (test=0.924) 1.81min
[fit 103/150] END max_depth=102; total=4431, TP=126, TN=4193, FP=27, FN=85; precision=0.824, recall=0.597
accuracy: (test=0.975) average_precision: (test=0.747) balanced_accuracy: (test=0.795) f1: (test=0.692) roc_auc: (test=0.926) 1.81min
[fit 104/150] END max_depth=103; total=4431, TP=122, TN=4199, FP=21, FN=89; precision=0.853, recall=0.578
accuracy: (test=0.975) average_precision: (test=0.744) balanced_accuracy: (test=0.787) f1: (test=0.689) roc_auc: (test=0.924) 1.81min
[fit 105/150] END max_depth=104; total=4431, TP=123, TN=4192, FP=28, FN=88; precision=0.815, recall=0.583
accuracy: (test=0.974) average_precision: (test=0.744) balanced_accuracy: (test=0.788) f1: (test=0.680) roc_auc: (test=0.922) 1.81min
[fit 106/150] END max_depth=105; total=4431, TP=124, TN=4196, FP=24, FN=87; precision=0.838, recall=0.588
accuracy: (test=0.975) average_precision: (test=0.745) balanced_accuracy: (test=0.791) f1: (test=0.691) roc_auc: (test=0.922) 1.83min
[fit 107/150] END max_depth=106; total=4431, TP=122, TN=4197, FP=23, FN=89; precision=0.841, recall=0.578
accuracy: (test=0.975) average_precision: (test=0.746) balanced_accuracy: (test=0.786) f1: (test=0.685) roc_auc: (test=0.928) 1.80min
[fit 108/150] END max_depth=107; total=4431, TP=124, TN=4200, FP=20, FN=87; precision=0.861, recall=0.588
accuracy: (test=0.976) average_precision: (test=0.741) balanced_accuracy: (test=0.791) f1: (test=0.699) roc_auc: (test=0.922) 1.80min
[fit 109/150] END max_depth=108; total=4431, TP=123, TN=4195, FP=25, FN=88; precision=0.831, recall=0.583
accuracy: (test=0.974) average_precision: (test=0.734) balanced_accuracy: (test=0.789) f1: (test=0.685) roc_auc: (test=0.910) 1.83min
[fit 110/150] END max_depth=109; total=4431, TP=122, TN=4198, FP=22, FN=89; precision=0.847, recall=0.578
accuracy: (test=0.975) average_precision: (test=0.745) balanced_accuracy: (test=0.786) f1: (test=0.687) roc_auc: (test=0.920) 1.81min
[fit 111/150] END max_depth=110; total=4431, TP=126, TN=4198, FP=22, FN=85; precision=0.851, recall=0.597
accuracy: (test=0.976) average_precision: (test=0.746) balanced_accuracy: (test=0.796) f1: (test=0.702) roc_auc: (test=0.926) 1.80min
[fit 112/150] END max_depth=111; total=4431, TP=124, TN=4199, FP=21, FN=87; precision=0.855, recall=0.588
accuracy: (test=0.976) average_precision: (test=0.747) balanced_accuracy: (test=0.791) f1: (test=0.697) roc_auc: (test=0.927) 1.83min
[fit 113/150] END max_depth=112; total=4431, TP=125, TN=4195, FP=25, FN=86; precision=0.833, recall=0.592
accuracy: (test=0.975) average_precision: (test=0.742) balanced_accuracy: (test=0.793) f1: (test=0.693) roc_auc: (test=0.924) 1.80min
[fit 114/150] END max_depth=113; total=4431, TP=125, TN=4195, FP=25, FN=86; precision=0.833, recall=0.592
accuracy: (test=0.975) average_precision: (test=0.745) balanced_accuracy: (test=0.793) f1: (test=0.693) roc_auc: (test=0.926) 1.81min
[fit 115/150] END max_depth=114; total=4431, TP=126, TN=4194, FP=26, FN=85; precision=0.829, recall=0.597
accuracy: (test=0.975) average_precision: (test=0.744) balanced_accuracy: (test=0.795) f1: (test=0.694) roc_auc: (test=0.924) 1.81min
[fit 116/150] END max_depth=115; total=4431, TP=121, TN=4199, FP=21, FN=90; precision=0.852, recall=0.573
accuracy: (test=0.975) average_precision: (test=0.744) balanced_accuracy: (test=0.784) f1: (test=0.686) roc_auc: (test=0.917) 1.80min
[fit 117/150] END max_depth=116; total=4431, TP=124, TN=4199, FP=21, FN=87; precision=0.855, recall=0.588
accuracy: (test=0.976) average_precision: (test=0.740) balanced_accuracy: (test=0.791) f1: (test=0.697) roc_auc: (test=0.920) 1.80min
[fit 118/150] END max_depth=117; total=4431, TP=120, TN=4204, FP=16, FN=91; precision=0.882, recall=0.569
accuracy: (test=0.976) average_precision: (test=0.740) balanced_accuracy: (test=0.782) f1: (test=0.692) roc_auc: (test=0.920) 1.81min
[fit 119/150] END max_depth=118; total=4431, TP=123, TN=4199, FP=21, FN=88; precision=0.854, recall=0.583
accuracy: (test=0.975) average_precision: (test=0.748) balanced_accuracy: (test=0.789) f1: (test=0.693) roc_auc: (test=0.929) 1.80min
[fit 120/150] END max_depth=119; total=4431, TP=123, TN=4203, FP=17, FN=88; precision=0.879, recall=0.583
accuracy: (test=0.976) average_precision: (test=0.743) balanced_accuracy: (test=0.789) f1: (test=0.701) roc_auc: (test=0.915) 1.83min
[fit 121/150] END max_depth=120; total=4431, TP=120, TN=4194, FP=26, FN=91; precision=0.822, recall=0.569
accuracy: (test=0.974) average_precision: (test=0.743) balanced_accuracy: (test=0.781) f1: (test=0.672) roc_auc: (test=0.926) 1.81min
[fit 122/150] END max_depth=121; total=4431, TP=123, TN=4198, FP=22, FN=88; precision=0.848, recall=0.583
accuracy: (test=0.975) average_precision: (test=0.741) balanced_accuracy: (test=0.789) f1: (test=0.691) roc_auc: (test=0.921) 1.82min
[fit 123/150] END max_depth=122; total=4431, TP=126, TN=4199, FP=21, FN=85; precision=0.857, recall=0.597
accuracy: (test=0.976) average_precision: (test=0.746) balanced_accuracy: (test=0.796) f1: (test=0.704) roc_auc: (test=0.926) 1.83min
[fit 124/150] END max_depth=123; total=4431, TP=123, TN=4198, FP=22, FN=88; precision=0.848, recall=0.583
accuracy: (test=0.975) average_precision: (test=0.742) balanced_accuracy: (test=0.789) f1: (test=0.691) roc_auc: (test=0.922) 1.80min
[fit 125/150] END max_depth=124; total=4431, TP=126, TN=4198, FP=22, FN=85; precision=0.851, recall=0.597
accuracy: (test=0.976) average_precision: (test=0.741) balanced_accuracy: (test=0.796) f1: (test=0.702) roc_auc: (test=0.926) 1.81min
[fit 126/150] END max_depth=125; total=4431, TP=124, TN=4193, FP=27, FN=87; precision=0.821, recall=0.588
accuracy: (test=0.974) average_precision: (test=0.742) balanced_accuracy: (test=0.791) f1: (test=0.685) roc_auc: (test=0.927) 1.82min
[fit 127/150] END max_depth=126; total=4431, TP=124, TN=4200, FP=20, FN=87; precision=0.861, recall=0.588
accuracy: (test=0.976) average_precision: (test=0.745) balanced_accuracy: (test=0.791) f1: (test=0.699) roc_auc: (test=0.922) 1.80min
[fit 128/150] END max_depth=127; total=4431, TP=121, TN=4200, FP=20, FN=90; precision=0.858, recall=0.573
accuracy: (test=0.975) average_precision: (test=0.743) balanced_accuracy: (test=0.784) f1: (test=0.688) roc_auc: (test=0.919) 1.81min
[fit 129/150] END max_depth=128; total=4431, TP=123, TN=4194, FP=26, FN=88; precision=0.826, recall=0.583
accuracy: (test=0.974) average_precision: (test=0.737) balanced_accuracy: (test=0.788) f1: (test=0.683) roc_auc: (test=0.921) 1.81min
[fit 130/150] END max_depth=129; total=4431, TP=124, TN=4196, FP=24, FN=87; precision=0.838, recall=0.588
accuracy: (test=0.975) average_precision: (test=0.743) balanced_accuracy: (test=0.791) f1: (test=0.691) roc_auc: (test=0.923) 1.79min
[fit 131/150] END max_depth=130; total=4431, TP=123, TN=4196, FP=24, FN=88; precision=0.837, recall=0.583
accuracy: (test=0.975) average_precision: (test=0.740) balanced_accuracy: (test=0.789) f1: (test=0.687) roc_auc: (test=0.915) 1.82min
[fit 132/150] END max_depth=131; total=4431, TP=124, TN=4200, FP=20, FN=87; precision=0.861, recall=0.588
accuracy: (test=0.976) average_precision: (test=0.742) balanced_accuracy: (test=0.791) f1: (test=0.699) roc_auc: (test=0.918) 1.86min
[fit 133/150] END max_depth=132; total=4431, TP=122, TN=4200, FP=20, FN=89; precision=0.859, recall=0.578
accuracy: (test=0.975) average_precision: (test=0.740) balanced_accuracy: (test=0.787) f1: (test=0.691) roc_auc: (test=0.913) 1.82min
[fit 134/150] END max_depth=133; total=4431, TP=122, TN=4192, FP=28, FN=89; precision=0.813, recall=0.578
accuracy: (test=0.974) average_precision: (test=0.742) balanced_accuracy: (test=0.786) f1: (test=0.676) roc_auc: (test=0.920) 1.81min
[fit 135/150] END max_depth=134; total=4431, TP=124, TN=4203, FP=17, FN=87; precision=0.879, recall=0.588
accuracy: (test=0.977) average_precision: (test=0.749) balanced_accuracy: (test=0.792) f1: (test=0.705) roc_auc: (test=0.928) 1.83min
[fit 136/150] END max_depth=135; total=4431, TP=124, TN=4198, FP=22, FN=87; precision=0.849, recall=0.588
accuracy: (test=0.975) average_precision: (test=0.740) balanced_accuracy: (test=0.791) f1: (test=0.695) roc_auc: (test=0.915) 1.86min
[fit 137/150] END max_depth=136; total=4431, TP=122, TN=4199, FP=21, FN=89; precision=0.853, recall=0.578
accuracy: (test=0.975) average_precision: (test=0.737) balanced_accuracy: (test=0.787) f1: (test=0.689) roc_auc: (test=0.909) 1.81min
[fit 138/150] END max_depth=137; total=4431, TP=124, TN=4201, FP=19, FN=87; precision=0.867, recall=0.588
accuracy: (test=0.976) average_precision: (test=0.751) balanced_accuracy: (test=0.792) f1: (test=0.701) roc_auc: (test=0.933) 1.82min
[fit 139/150] END max_depth=138; total=4431, TP=128, TN=4198, FP=22, FN=83; precision=0.853, recall=0.607
accuracy: (test=0.976) average_precision: (test=0.747) balanced_accuracy: (test=0.801) f1: (test=0.709) roc_auc: (test=0.925) 1.81min
[fit 140/150] END max_depth=139; total=4431, TP=126, TN=4198, FP=22, FN=85; precision=0.851, recall=0.597
accuracy: (test=0.976) average_precision: (test=0.749) balanced_accuracy: (test=0.796) f1: (test=0.702) roc_auc: (test=0.923) 1.81min
[fit 141/150] END max_depth=140; total=4431, TP=124, TN=4194, FP=26, FN=87; precision=0.827, recall=0.588
accuracy: (test=0.974) average_precision: (test=0.744) balanced_accuracy: (test=0.791) f1: (test=0.687) roc_auc: (test=0.924) 1.79min
[fit 142/150] END max_depth=141; total=4431, TP=123, TN=4196, FP=24, FN=88; precision=0.837, recall=0.583
accuracy: (test=0.975) average_precision: (test=0.741) balanced_accuracy: (test=0.789) f1: (test=0.687) roc_auc: (test=0.921) 1.83min
[fit 143/150] END max_depth=142; total=4431, TP=121, TN=4200, FP=20, FN=90; precision=0.858, recall=0.573
accuracy: (test=0.975) average_precision: (test=0.737) balanced_accuracy: (test=0.784) f1: (test=0.688) roc_auc: (test=0.917) 1.83min
[fit 144/150] END max_depth=143; total=4431, TP=123, TN=4193, FP=27, FN=88; precision=0.820, recall=0.583
accuracy: (test=0.974) average_precision: (test=0.738) balanced_accuracy: (test=0.788) f1: (test=0.681) roc_auc: (test=0.920) 1.81min
[fit 145/150] END max_depth=144; total=4431, TP=124, TN=4196, FP=24, FN=87; precision=0.838, recall=0.588
accuracy: (test=0.975) average_precision: (test=0.748) balanced_accuracy: (test=0.791) f1: (test=0.691) roc_auc: (test=0.930) 1.80min
[fit 146/150] END max_depth=145; total=4431, TP=124, TN=4193, FP=27, FN=87; precision=0.821, recall=0.588
accuracy: (test=0.974) average_precision: (test=0.743) balanced_accuracy: (test=0.791) f1: (test=0.685) roc_auc: (test=0.919) 1.81min
[fit 147/150] END max_depth=146; total=4431, TP=124, TN=4201, FP=19, FN=87; precision=0.867, recall=0.588
accuracy: (test=0.976) average_precision: (test=0.735) balanced_accuracy: (test=0.792) f1: (test=0.701) roc_auc: (test=0.914) 1.81min
[fit 148/150] END max_depth=147; total=4431, TP=124, TN=4198, FP=22, FN=87; precision=0.849, recall=0.588
accuracy: (test=0.975) average_precision: (test=0.739) balanced_accuracy: (test=0.791) f1: (test=0.695) roc_auc: (test=0.919) 1.82min
[fit 149/150] END max_depth=148; total=4431, TP=124, TN=4200, FP=20, FN=87; precision=0.861, recall=0.588
accuracy: (test=0.976) average_precision: (test=0.746) balanced_accuracy: (test=0.791) f1: (test=0.699) roc_auc: (test=0.922) 1.85min
[fit 150/150] END max_depth=149; total=4431, TP=124, TN=4197, FP=23, FN=87; precision=0.844, recall=0.588
accuracy: (test=0.975) average_precision: (test=0.744) balanced_accuracy: (test=0.791) f1: (test=0.693) roc_auc: (test=0.920) 1.81min
clf.best_estimator_params: {'max_depth': 80}
best params found in line [82] for metric [roc_auc] in rank file
best params found in fit [81] for metric [roc_auc] in run_and_score file
clf.best_scoring_result: [Total: (test=4431) TP: (test=124.000) TN: (test=4202.000) FP: (test=18.000) FN: (test=87.000) precision: (test=0.873) recall: (test=0.588) accuracy: (test=0.976) average_precision: (test=0.749) balanced_accuracy: (test=0.792) f1: (test=0.703) roc_auc: (test=0.933) ]
write rank test to csv!!!
write over!!!
第三次
{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 80, 'max_features': 'auto', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 230, 'n_jobs': 14, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}
Fitting, totalling 90 fits
[fit 1/90] END min_samples_leaf=1, min_samples_split=2; total=4431, TP=119, TN=4198, FP=22, FN=92; precision=0.844, recall=0.564
accuracy: (test=0.974) average_precision: (test=0.743) balanced_accuracy: (test=0.779) f1: (test=0.676) roc_auc: (test=0.930) 1.79min
[fit 2/90] END min_samples_leaf=1, min_samples_split=3; total=4431, TP=123, TN=4195, FP=25, FN=88; precision=0.831, recall=0.583
accuracy: (test=0.974) average_precision: (test=0.746) balanced_accuracy: (test=0.789) f1: (test=0.685) roc_auc: (test=0.926) 1.82min
[fit 3/90] END min_samples_leaf=1, min_samples_split=4; total=4431, TP=124, TN=4196, FP=24, FN=87; precision=0.838, recall=0.588
accuracy: (test=0.975) average_precision: (test=0.748) balanced_accuracy: (test=0.791) f1: (test=0.691) roc_auc: (test=0.930) 1.79min
[fit 4/90] END min_samples_leaf=1, min_samples_split=5; total=4431, TP=123, TN=4195, FP=25, FN=88; precision=0.831, recall=0.583
accuracy: (test=0.974) average_precision: (test=0.746) balanced_accuracy: (test=0.789) f1: (test=0.685) roc_auc: (test=0.928) 1.81min
[fit 5/90] END min_samples_leaf=1, min_samples_split=6; total=4431, TP=118, TN=4199, FP=21, FN=93; precision=0.849, recall=0.559
accuracy: (test=0.974) average_precision: (test=0.747) balanced_accuracy: (test=0.777) f1: (test=0.674) roc_auc: (test=0.924) 1.80min
[fit 6/90] END min_samples_leaf=1, min_samples_split=7; total=4431, TP=121, TN=4197, FP=23, FN=90; precision=0.840, recall=0.573
accuracy: (test=0.974) average_precision: (test=0.735) balanced_accuracy: (test=0.784) f1: (test=0.682) roc_auc: (test=0.916) 1.79min
[fit 7/90] END min_samples_leaf=1, min_samples_split=8; total=4431, TP=126, TN=4190, FP=30, FN=85; precision=0.808, recall=0.597
accuracy: (test=0.974) average_precision: (test=0.738) balanced_accuracy: (test=0.795) f1: (test=0.687) roc_auc: (test=0.923) 1.81min
[fit 8/90] END min_samples_leaf=1, min_samples_split=9; total=4431, TP=126, TN=4193, FP=27, FN=85; precision=0.824, recall=0.597
accuracy: (test=0.975) average_precision: (test=0.735) balanced_accuracy: (test=0.795) f1: (test=0.692) roc_auc: (test=0.919) 1.82min
